Note,Category
Groceries for the week,Food
Dinner with friends,Social Life
Gasoline refill,Transportation
New shoes,Apparel
Monthly rent,Household
Cooking class fee,Education
Weekly pocket money,Allowance
Yoga class membership,Education
Haircut,Beauty
Birthday present for a friend,Gift
Lunch with coworkers,Social Life
New kitchen appliances,Household
Textbooks for upcoming semester,Education
Electricity bill payment,Household
Movie ticket,Social Life
Donation to charity,Other
Subscription to online learning platform,Education
Dining out,Food
Car maintenance,Transportation
Monthly savings deposit,Other
New skincare products,Beauty
Emergency fund withdrawal,Other
Coffee with a friend,Social Life
Cleaning supplies,Household
Taxi fare,Transportation
New winter coat,Apparel
Music concert ticket,Social Life
Cat food,Pet
Lunch at work,Food
Gym membership fee,Education
Household repairs,Household
Weekly allowance for kids,Allowance
Dinner at a fancy restaurant,Social Life
Textbooks for next semester,Education
Hair dye kit,Beauty
New phone case,Apparel
Savings for vacation,Other
Monthly book club subscription,Education
Pet grooming appointment,Pet
Lunch with family,Food
Fuel for the car,Transportation
Monthly utility bills,Household
New sneakers,Apparel
Coffee with a colleague,Social Life
Gardening supplies,Household
Public transportation pass renewal,Transportation
Donation to animal shelter,Other
Dinner at home,Food
Language learning app subscription,Education
Vet visit,Pet
Snacks for movie night,Food
Hair salon appointment,Beauty
New laptop,Household
Dinner date with partner,Social Life
Monthly budget adjustment,Other
Art supplies,Other
Groceries for a dinner party,Food
Bike repair kit,Transportation
Monthly mortgage payment,Household
New dress for an event,Apparel
Cooking ingredients,Food
Movie night with friends,Social Life
Dinner with extended family,Social Life
Donation to education charity,Other
Lunch at a new restaurant,Food
Public transportation tickets,Transportation
New glasses,Apparel
Coffee break,Food
Concert ticket,Social Life
Pet toys,Pet
Monthly phone bill payment,Household
Online course enrollment,Education
New skincare routine products,Beauty
Weekend getaway expenses,Other
Dinner with coworkers,Social Life
Household cleaning supplies,Household
Car insurance payment,Transportation
New shoes for work,Apparel
Music streaming service subscription,Other
Dinner at a friend's house,Food
Taxi ride home,Transportation
