deskripsi,category,source,deskripsi_clean,text_length
susu,makanan,df1,susu,4
makan malam bersama teman,hiburan,df1,makan malam teman,17
tagihan air,tagihan,df1,tagihan air,11
kelas yoga,kesehatan,df1,kelas yoga,10
bunga,belanja,df1,bunga,5
bunga,belanja,df1,bunga,5
perbaikan mobil,transportasi,df1,perbaikan mobil,15
pelatih pribadi,kesehatan,df1,pelatih pribadi,15
tiket pesawat,transportasi,df1,tiket pesawat,13
permainan anak-anak,belanja,df1,permainan anakanak,18
roti,makanan,df1,roti,4
perbaikan mobil,transportasi,df1,perbaikan mobil,15
pasta gigi,belanja,df1,pasta gigi,10
perlengkapan rajutan,hiburan,df1,perlengkapan rajutan,20
ruu gas,tagihan,df1,ruu gas,7
perhiasan,belanja,df1,perhiasan,9
sepatu,belanja,df1,sepatu,6
kunjungan dokter gigi,kesehatan,df1,kunjungan dokter gigi,21
ayam,makanan,df1,ayam,4
pakaian,belanja,df1,pakaian,7
makanan ringan,makanan,df1,makanan ringan,14
makanan cepat saji,makanan,df1,makanan cepat saji,18
makanan restoran,makanan,df1,makanan restoran,16
susu,makanan,df1,susu,4
kunjungan dokter,kesehatan,df1,kunjungan dokter,16
angkutan umum,transportasi,df1,angkutan umum,13
obat,kesehatan,df1,obat,4
makanan cepat saji,makanan,df1,makanan cepat saji,18
sepatu,belanja,df1,sepatu,6
angkutan umum,transportasi,df1,angkutan umum,13
sayuran,makanan,df1,sayuran,7
permainan anak-anak,belanja,df1,permainan anakanak,18
perhiasan,belanja,df1,perhiasan,9
ruu gas,tagihan,df1,ruu gas,7
kelas yoga,kesehatan,df1,kelas yoga,10
gas,transportasi,df1,gas,3
susu,makanan,df1,susu,4
kunjungan dokter,kesehatan,df1,kunjungan dokter,16
gas,transportasi,df1,gas,3
permainan anak-anak,belanja,df1,permainan anakanak,18
tiket pesawat,transportasi,df1,tiket pesawat,13
layanan streaming,hiburan,df1,layanan streaming,17
tagihan air,tagihan,df1,tagihan air,11
tiket pesawat,transportasi,df1,tiket pesawat,13
sampo,belanja,df1,sampo,5
perhiasan,belanja,df1,perhiasan,9
angkutan umum,transportasi,df1,angkutan umum,13
makan malam bersama teman,hiburan,df1,makan malam teman,17
tagihan listrik,tagihan,df1,tagihan listrik,15
gas,transportasi,df1,gas,3
produk perawatan kulit,belanja,df1,produk perawatan kulit,22
kopi,makanan,df1,kopi,4
perlengkapan seni,hiburan,df1,perlengkapan seni,17
perlengkapan seni,hiburan,df1,perlengkapan seni,17
pakaian,belanja,df1,pakaian,7
makanan restoran,makanan,df1,makanan restoran,16
kunjungan dokter gigi,kesehatan,df1,kunjungan dokter gigi,21
permainan anak-anak,belanja,df1,permainan anakanak,18
perhiasan,belanja,df1,perhiasan,9
ruu gas,tagihan,df1,ruu gas,7
pelatih pribadi,kesehatan,df1,pelatih pribadi,15
sepatu,belanja,df1,sepatu,6
sampo,belanja,df1,sampo,5
kopi,makanan,df1,kopi,4
produk perawatan kulit,belanja,df1,produk perawatan kulit,22
makan malam bersama teman,hiburan,df1,makan malam teman,17
layanan streaming,hiburan,df1,layanan streaming,17
bunga,belanja,df1,bunga,5
pelatih pribadi,kesehatan,df1,pelatih pribadi,15
pelatih pribadi,kesehatan,df1,pelatih pribadi,15
kunjungan dokter gigi,kesehatan,df1,kunjungan dokter gigi,21
makanan restoran,makanan,df1,makanan restoran,16
kopi,makanan,df1,kopi,4
makanan ringan,makanan,df1,makanan ringan,14
layanan streaming,hiburan,df1,layanan streaming,17
majalah,hiburan,df1,majalah,7
roti,makanan,df1,roti,4
kunjungan dokter,kesehatan,df1,kunjungan dokter,16
makanan cepat saji,makanan,df1,makanan cepat saji,18
tiket film,hiburan,df1,tiket film,10
perhiasan,belanja,df1,perhiasan,9
perbaikan mobil,transportasi,df1,perbaikan mobil,15
kunjungan dokter gigi,kesehatan,df1,kunjungan dokter gigi,21
kopi,makanan,df1,kopi,4
makanan restoran,makanan,df1,makanan restoran,16
pelatih pribadi,kesehatan,df1,pelatih pribadi,15
pasta gigi,belanja,df1,pasta gigi,10
tiket film,hiburan,df1,tiket film,10
perlengkapan rajutan,hiburan,df1,perlengkapan rajutan,20
peralatan latihan,kesehatan,df1,peralatan latihan,17
obat,kesehatan,df1,obat,4
makanan cepat saji,makanan,df1,makanan cepat saji,18
layanan streaming,hiburan,df1,layanan streaming,17
angkutan umum,transportasi,df1,angkutan umum,13
daging,makanan,df1,daging,6
makanan restoran,makanan,df1,makanan restoran,16
pakaian,belanja,df1,pakaian,7
angkutan umum,transportasi,df1,angkutan umum,13
tiket pesawat,transportasi,df1,tiket pesawat,13
menyewa,tagihan,df1,menyewa,7
perbaikan mobil,transportasi,df1,perbaikan mobil,15
tiket konser,hiburan,df1,tiket konser,12
kartu hadiah,belanja,df1,kartu hadiah,12
sampo,belanja,df1,sampo,5
kopi,makanan,df1,kopi,4
perhiasan,belanja,df1,perhiasan,9
kopi,makanan,df1,kopi,4
peralatan latihan,kesehatan,df1,peralatan latihan,17
peralatan latihan,kesehatan,df1,peralatan latihan,17
ruu gas,tagihan,df1,ruu gas,7
peralatan latihan,kesehatan,df1,peralatan latihan,17
kartu hadiah,belanja,df1,kartu hadiah,12
kartu hadiah,belanja,df1,kartu hadiah,12
susu,makanan,df1,susu,4
menginap di hotel,transportasi,df1,menginap hotel,14
makan malam bersama teman,hiburan,df1,makan malam teman,17
kunjungan dokter gigi,kesehatan,df1,kunjungan dokter gigi,21
menginap di hotel,transportasi,df1,menginap hotel,14
sepatu,belanja,df1,sepatu,6
sabun,belanja,df1,sabun,5
buku,hiburan,df1,buku,4
elektronik,belanja,df1,elektronik,10
kartu hadiah,belanja,df1,kartu hadiah,12
makan malam bersama teman,hiburan,df1,makan malam teman,17
kunjungan dokter gigi,kesehatan,df1,kunjungan dokter gigi,21
gas,transportasi,df1,gas,3
gas,transportasi,df1,gas,3
pakaian,belanja,df1,pakaian,7
permainan anak-anak,belanja,df1,permainan anakanak,18
sampo,belanja,df1,sampo,5
kunjungan dokter gigi,kesehatan,df1,kunjungan dokter gigi,21
layanan streaming,hiburan,df1,layanan streaming,17
menyewa,tagihan,df1,menyewa,7
makan malam bersama teman,hiburan,df1,makan malam teman,17
majalah,hiburan,df1,majalah,7
tiket film,hiburan,df1,tiket film,10
makanan restoran,makanan,df1,makanan restoran,16
ruu gas,tagihan,df1,ruu gas,7
angkutan umum,transportasi,df1,angkutan umum,13
bunga,belanja,df1,bunga,5
sepatu,belanja,df1,sepatu,6
tiket konser,hiburan,df1,tiket konser,12
tiket pesawat,transportasi,df1,tiket pesawat,13
pasta gigi,belanja,df1,pasta gigi,10
layanan streaming,hiburan,df1,layanan streaming,17
kartu hadiah,belanja,df1,kartu hadiah,12
buah-buahan,makanan,df1,buahbuahan,10
makanan restoran,makanan,df1,makanan restoran,16
tagihan listrik,tagihan,df1,tagihan listrik,15
angkutan umum,transportasi,df1,angkutan umum,13
gas,transportasi,df1,gas,3
elektronik,belanja,df1,elektronik,10
bunga,belanja,df1,bunga,5
sepatu,belanja,df1,sepatu,6
pakaian,belanja,df1,pakaian,7
tiket film,hiburan,df1,tiket film,10
kunjungan dokter,kesehatan,df1,kunjungan dokter,16
kunjungan dokter gigi,kesehatan,df1,kunjungan dokter gigi,21
majalah,hiburan,df1,majalah,7
keanggotaan gimnasium,kesehatan,df1,keanggotaan gimnasium,21
sabun,belanja,df1,sabun,5
pasta gigi,belanja,df1,pasta gigi,10
menyewa,tagihan,df1,menyewa,7
ayam,makanan,df1,ayam,4
kartu hadiah,belanja,df1,kartu hadiah,12
bunga,belanja,df1,bunga,5
peralatan latihan,kesehatan,df1,peralatan latihan,17
sepatu,belanja,df1,sepatu,6
sampo,belanja,df1,sampo,5
bunga,belanja,df1,bunga,5
roti,makanan,df1,roti,4
menginap di hotel,transportasi,df1,menginap hotel,14
permainan anak-anak,belanja,df1,permainan anakanak,18
