text,category,amount
langganan spotify family,hiburan,361206
top up steam wallet,hiburan,148021
tes lab,kesehatan,342112
beli iphone,belanja,458544
staycation hotel,hiburan,201063
sewa motor harian,transportasi,158163
beli sabun mandi,belanja,484224
rawat inap rs,kesehatan,448104
sedekah,sosial,264463
beli sabun mandi,belanja,222836
bayar kartu kredit bca,tagihan,297464
service mobil,transportasi,296072
uang amplop nikahan,sosial,456314
vaksin influenza,kesehatan,156753
biaya tak terduga,lainnya,169643
tes urine,kesehatan,270849
beli sandal,belanja,128102
service ac,lainnya,465269
beli susu lansia,kesehatan,415636
beli samsung,belanja,468593
traktir teman makan,sosial,252340
naik ojek pangkalan,transportasi,132323
biaya sekolah,pendidikan,405220
top up mobile legends,hiburan,280806
bayar wifi biznet,tagihan,359744
beli token listrik,tagihan,396016
es teh,makanan,365446
beli hampers,sosial,6296
sewa bus pariwisata,transportasi,369858
beli paracetamol,kesehatan,265773
pengeluaran tidak terduga,lainnya,361942
langganan ruangguru,pendidikan,357834
beli kaos polos,belanja,164574
cetak foto,lainnya,355298
uang semester,pendidikan,351382
biaya notaris,lainnya,178924
biaya kuliah,pendidikan,222018
bayar tol,transportasi,151238
beli vitamin d,kesehatan,132567
naik gojek,transportasi,381620
bayar pajak kendaraan,transportasi,162784
kursus bahasa inggris,pendidikan,164728
naik krl,transportasi,399269
biaya tukang,lainnya,490512
naik krl,transportasi,181080
kopi keliling,makanan,458018
kursus online,pendidikan,214514
isi bensin pertashop,transportasi,323372
bayar cicilan mobil,tagihan,122895
ganti oli motor,transportasi,147038
service mobil,transportasi,255984
seblak,makanan,144180
bimbingan belajar,pendidikan,103651
traktir teman makan,sosial,458782
main ke bioskop,hiburan,426350
bayar potong rambut,lainnya,25333
naik mrt,transportasi,306883
biaya tukang,lainnya,395774
beli rak sepatu,belanja,153225
beli obat anak,kesehatan,299483
kursus excel,pendidikan,435278
rawat jalan,kesehatan,21331
warung padang,makanan,271248
ongkos tambahan,lainnya,56494
beli skincare korea,belanja,236855
cetak foto,lainnya,363154
top up mobile legends,hiburan,405092
rawat jalan,kesehatan,356512
beli vacuum cleaner,belanja,96850
cicilan motor,tagihan,387357
beli skincare korea,belanja,314219
roti canai,makanan,329282
kursus ai,pendidikan,202651
ongkir shopee,lainnya,92209
naik grab,transportasi,345862
bayar indihome,tagihan,276939
seblak,makanan,316699
ikut workshop,pendidikan,348203
bayar bpjs kesehatan,tagihan,235142
bayar derek,transportasi,317556
beli vitamin c,kesehatan,441088
beli pulpen,lainnya,149169
makan all you can eat,makanan,464199
sedekah,sosial,161085
laundry express,lainnya,71767
bantu keluarga,sosial,13536
tiket dufan,hiburan,240717
liburan ke bali,hiburan,483959
spooring balancing,transportasi,246035
vaksin influenza,kesehatan,315074
langganan ruangguru,pendidikan,77085
camping di gunung,hiburan,339994
fisioterapi,kesehatan,290456
biaya aplikasi,lainnya,82530
service ac,lainnya,374380
beli air fryer,belanja,297192
bayar parkir,transportasi,130066
gorengan,makanan,325695
belanja di shopee,belanja,403453
ayam rica rica,makanan,154552
tes lab,kesehatan,112586
iuran warga,sosial,36402
bantu keluarga,sosial,329749
kursus coding,pendidikan,364302
tiket kereta,transportasi,115970
isi angin ban,transportasi,247062
beli skincare,belanja,388967
langganan ruangguru,pendidikan,126710
print dokumen,lainnya,489928
biaya praktikum kampus,pendidikan,267388
beli obat di apotek,kesehatan,431273
cicilan mobil,tagihan,409744
seblak,makanan,229622
mie sedaap,makanan,28114
beli laptop pelajar,pendidikan,404312
es teh,makanan,356364
warung padang,makanan,125087
periksa ke dokter umum,kesehatan,417603
tiket bioskop xxi,hiburan,407107
cetak foto,lainnya,377851
ongkos tambahan,lainnya,55700
bakso solo,makanan,272138
beli tiket pesawat,transportasi,360109
beli buku sekolah,pendidikan,369533
bayar karaoke,hiburan,206405
kasih uang ke orang tua,sosial,92536
bayar cicilan mobil,tagihan,202373
bayar listrik pln,tagihan,28752
tes lab,kesehatan,295621
rawat jalan,kesehatan,340278
langganan spotify premium,hiburan,215020
beli piring,belanja,458462
gorengan,makanan,214186
beli pulpen,lainnya,39402
cetak foto,lainnya,182183
belanja tiktok shop,belanja,155669
beli pulpen,lainnya,116091
medical check up,kesehatan,320830
bimbingan belajar,pendidikan,433865
bayar kredivo,tagihan,53477
pecel lele,makanan,117321
staycation hotel,hiburan,194060
senam terapi,kesehatan,329026
uang amplop nikahan,sosial,332996
potong rambut,lainnya,365221
beli mesin kopi,belanja,248409
biaya sekolah,pendidikan,415804
bayar token,tagihan,172108
beli manga,hiburan,489604
ayam bakar,makanan,498667
bayar cicilan motor,tagihan,36959
bayar pajak kendaraan,transportasi,119276
uang semester,pendidikan,291066
ikut workshop,pendidikan,309358
naik grab,transportasi,217022
bantu keluarga,sosial,261219
makan malam bersama teman,sosial,194319
tes antigen,kesehatan,422506
es teh,makanan,348638
beli parfum lokal,belanja,212516
bayar listrik pln,tagihan,133311
camping di gunung,hiburan,53084
bayar bpjs kesehatan,tagihan,438580
main arcade,hiburan,345766
biaya sertifikasi,pendidikan,383636
bayar karaoke,hiburan,165692
sedekah,sosial,248231
biaya aplikasi,lainnya,237485
beli buku sekolah,pendidikan,339353
cilok,makanan,273132
tiket lion air,transportasi,259616
beli hampers,sosial,49434
liburan keluarga,hiburan,131845
beli susu lansia,kesehatan,27178
tes antigen,kesehatan,396016
ayam bakar,makanan,488548
beli laptop pelajar,pendidikan,34420
bayar paylater,tagihan,408618
beli sandal,belanja,478643
ongkos tambahan,lainnya,335457
kursus bahasa inggris,pendidikan,145990
naik becak,transportasi,33106
beli kemeja kerja,belanja,440178
ikan bakar,makanan,117065
beli sabun mandi,belanja,245947
beli buah jeruk,makanan,191264
lontong sayur,makanan,398676
bayar indihome,tagihan,274089
ongkos tambahan,lainnya,212406
pengeluaran tidak terduga,lainnya,329626
kursus data science,pendidikan,199356
tiket kapal laut,transportasi,278545
ganti oli motor,transportasi,236819
ongkos tambahan,lainnya,123270
sewa motor harian,transportasi,19138
nonton konser,hiburan,334387
kontrol dokter,kesehatan,378503
laundry,lainnya,477097
belanja di tokopedia,belanja,458645
kopi keliling,makanan,230994
isi angin ban,transportasi,133710
medical check up,kesehatan,144129
nasi goreng,makanan,376112
beli vitamin d,kesehatan,297533
mie sedaap,makanan,372955
beli hampers,sosial,92493
bayar paylater,tagihan,80681
periksa ke dokter umum,kesehatan,235562
beli iphone,belanja,161842
bayar potong rambut,lainnya,294435
bayar kost bulanan,tagihan,367021
checkout shopee,belanja,348293
biaya praktikum kampus,pendidikan,306589
beli pulsa telkomsel,tagihan,134247
donasi,sosial,428656
uang amplop nikahan,sosial,450123
tes antigen,kesehatan,245146
iuran warga,sosial,408894
beli tiket pesawat,transportasi,452452
beli parfum lokal,belanja,47565
gofood,makanan,6130
gado gado,makanan,352011
beli obat demam,kesehatan,121155
beli buku pelajaran,pendidikan,93202
bayar arisan,sosial,67622
ketoprak,makanan,57418
bayar gym membership,hiburan,355140
potong rambut,lainnya,144075
ikut workshop,pendidikan,220659
servis rem mobil,transportasi,412725
langganan netflix,hiburan,327337
periksa ke dokter umum,kesehatan,403571
belanja tiktok shop,belanja,310742
bayar listrik pln,tagihan,483795
makan all you can eat,makanan,33401
pengeluaran tidak terduga,lainnya,313059
biaya aplikasi,lainnya,425567
beli manga,hiburan,291268
langganan spotify premium,hiburan,440888
beli power bank,belanja,96786
bayar wifi indihome,tagihan,478373
bayar cicilan motor,tagihan,433056
biaya operasi,kesehatan,47772
bayar listrik pln,tagihan,242729
ikut workshop,pendidikan,498429
beli charger hp,belanja,469211
bayar hosting web,tagihan,280501
langganan netflix,hiburan,52211
makan malam bersama teman,sosial,90895
sewa motor harian,transportasi,229593
sewa motor harian,transportasi,249278
service mobil,transportasi,8091
ongkos tambahan,lainnya,228694
kursus bahasa inggris,pendidikan,419448
kopi susu,makanan,213910
pengeluaran tidak terduga,lainnya,256830
kondangan nikahan teman,sosial,378110
naik krl,transportasi,173980
biaya tukang,lainnya,82764
beli buah jeruk,makanan,476325
les privat bahasa inggris,pendidikan,299924
beli rak sepatu,belanja,470273
beli vacuum cleaner,belanja,423832
thai tea,makanan,92194
sewa motor harian,transportasi,71735
beli hampers,sosial,225653
beli mesin kopi,belanja,479037
bimbingan belajar,pendidikan,48011
roti canai,makanan,35866
langganan netflix,hiburan,222525
bimbel online,pendidikan,279928
kasih uang ke orang tua,sosial,410447
beli obat demam,kesehatan,24790
sedekah,sosial,115036
beli paket data,tagihan,8580
beli sampo,belanja,109447
fisioterapi,kesehatan,85026
langganan youtube premium family,hiburan,30063
iuran warga,sosial,76583
ayam rica rica,makanan,330666
kursus data science,pendidikan,256340
bayar wifi,tagihan,408162
beli ibuprofen,kesehatan,71457
beli game steam,hiburan,467660
makan malam bersama teman,sosial,369693
kondangan nikahan teman,sosial,339084
biaya operasi,kesehatan,498423
biaya operasi,kesehatan,227305
kursus online,pendidikan,403241
bayar pajak kendaraan,transportasi,204429
beli manga,hiburan,492835
ketoprak,makanan,104656
jalan jalan,hiburan,157233
laundry express,lainnya,47958
sedekah,sosial,83940
tes urine,kesehatan,31089
beli buku pelajaran,pendidikan,61084
biaya transfer antar bank,lainnya,254698
kopi keliling,makanan,311012
tes lab,kesehatan,317592
kursus bahasa inggris,pendidikan,382651
warung makan,makanan,65472
ayam bakar,makanan,44449
iuran warga,sosial,219504
liburan ke bali,hiburan,269998
beli dispenser,belanja,466020
bayar paylater,tagihan,143601
beli pulsa telkomsel,tagihan,308201
tiket dufan,hiburan,374118
beli wajan,belanja,65175
senam terapi,kesehatan,348675
langganan udemy,pendidikan,378123
bayar pajak kendaraan,transportasi,369654
biaya praktikum kampus,pendidikan,358387
beli parfum,belanja,451872
print dokumen,lainnya,52406
patungan gathering,sosial,93189
sedekah,sosial,50200
warung nasi,makanan,319019
beli buku sekolah,pendidikan,373977
beli ibuprofen,kesehatan,240789
les privat matematika,pendidikan,284032
isi saldo e-toll,transportasi,370529
beli obat di apotek,kesehatan,202234
biaya transfer antar bank,lainnya,191511
bakso solo,makanan,143656
cilok,makanan,115430
biaya sekolah,pendidikan,476498
kasih uang ke orang tua,sosial,411382
nasi padang,makanan,388730
ayam rica rica,makanan,203943
jalan jalan,hiburan,148891
bootcamp ui ux,pendidikan,40634
checkout tokopedia,belanja,155801
cicilan motor,tagihan,127073
laundry,lainnya,103688
beli pulpen,lainnya,57499
staycation hotel,hiburan,295535
naik grab,transportasi,486018
tiket bioskop xxi,hiburan,469409
fotocopy ktp,lainnya,50991
uang amplop nikahan,sosial,51835
rawat jalan,kesehatan,180452
kontrol dokter,kesehatan,323282
kondangan nikahan teman,sosial,129136
tiket kapal laut,transportasi,218085
biaya sertifikasi,pendidikan,137339
nasi goreng,makanan,286875
les privat matematika,pendidikan,386269
beli mesin kopi,belanja,483638
rawat inap rs,kesehatan,56998
fotocopy,lainnya,414828
beli kaos polos,belanja,166969
fotocopy ktp,lainnya,159617
naik krl,transportasi,384891
spp sekolah,pendidikan,84907
martabak manis,makanan,87704
isi bensin pertamax,transportasi,297241
main ke bioskop,hiburan,27206
patungan makan,sosial,147217
tes urine,kesehatan,27735
beli air fryer,belanja,287805
bootcamp programming,pendidikan,448913
naik grab,transportasi,260972
makan malam bersama teman,sosial,180645
kelas online,pendidikan,181980
biaya admin bank,lainnya,481213
langganan youtube premium family,hiburan,205211
biaya operasi,kesehatan,79149
beli tiket kai,transportasi,373498
bayar listrik pln,tagihan,155801
beli tiket kai,transportasi,92969
staycation hotel,hiburan,281540
kasih uang ke orang tua,sosial,378462
beli merchandise konser,hiburan,275205
beli buku pelajaran,pendidikan,284786
checkout shopee,belanja,288648
periksa ke dokter umum,kesehatan,318129
belanja di shopee,belanja,339445
soto ayam,makanan,417811
beli vitamin ibu hamil,kesehatan,439613
beli obat anak,kesehatan,407355
kelas online,pendidikan,353491
beli buah apel,makanan,414005
rendang,makanan,271171
gado gado,makanan,82643
iuran warga,sosial,222910
bayar listrik pln,tagihan,76846
uang amplop nikahan,sosial,270609
bootcamp ui ux,pendidikan,238716
beli game steam,hiburan,164448
ongkos tambahan,lainnya,143938
beli laptop,belanja,156049
biaya tak terduga,lainnya,31548
pengeluaran tidak terduga,lainnya,471486
kursus ai,pendidikan,113458
les privat matematika,pendidikan,337463
camping di gunung,hiburan,408263
beli sepatu sneakers,belanja,232526
laundry,lainnya,21977
bantu keluarga,sosial,44592
isi bensin pertalite,transportasi,454174
liburan ke bali,hiburan,195479
beli samsung,belanja,401594
bayar token,tagihan,156657
naik mrt,transportasi,57704
beli wajan,belanja,348367
isi saldo e-toll,transportasi,404893
biaya kuliah,pendidikan,411592
patungan gathering,sosial,59499
ongkir shopee,lainnya,322183
bayar potong rambut,lainnya,372382
biaya aplikasi,lainnya,159720
bayar wifi indihome,tagihan,190748
isi bensin pertamax,transportasi,187034
bayar pajak kendaraan,transportasi,330597
langganan spotify family,hiburan,456295
belanja di tokopedia,belanja,277086
gofood,makanan,46313
bayar pajak kendaraan,transportasi,300903
bayar akulaku,tagihan,462331
laundry express,lainnya,247927
top up steam wallet,hiburan,315278
bayar parkir,transportasi,339427
liburan ke bali,hiburan,182752
kursus ai,pendidikan,383752
bakso solo,makanan,134303
service ac,lainnya,435449
naik becak,transportasi,19209
naik krl,transportasi,407075
bayar denda,lainnya,474173
beli skincare,belanja,219092
bayar internet,tagihan,406632
beli pulpen,lainnya,241604
tiket dufan,hiburan,70260
kontrol dokter,kesehatan,105666
biaya operasi,kesehatan,427681
bantu keluarga,sosial,291446
beli skincare,belanja,52344
warung padang,makanan,53390
bayar bpjs kesehatan,kesehatan,379507
beli manga,hiburan,295048
warung padang,makanan,131286
traktir teman makan,sosial,29087
laundry,lainnya,57969
sedekah jumat,sosial,286886
nasi goreng,makanan,237328
biaya laundry kiloan,lainnya,485996
sewa elf,transportasi,178119
belanja di indomaret,makanan,71818
beli buku sekolah,pendidikan,204171
belanja di tokopedia,belanja,332894
tiket dufan,hiburan,135868
jalan jalan,hiburan,13616
kasih hadiah,sosial,175909
beli air fryer,belanja,99401
bayar microsoft 365,tagihan,484587
jalan jalan,hiburan,151654
beli paracetamol,kesehatan,74102
bayar kost bulanan,tagihan,178168
biaya tukang,lainnya,454117
checkout tokopedia,belanja,196814
biaya praktikum kampus,pendidikan,65337
beli mesin kopi,belanja,262805
pengeluaran tidak terduga,lainnya,120812
patungan gathering,sosial,413404
tiket lion air,transportasi,76145
uang amplop nikahan,sosial,226794
ongkir shopee,lainnya,68300
isi angin ban,transportasi,399679
sedekah,sosial,286861
ganti oli motor,transportasi,371721
sedekah jumat,sosial,436637
beli vitamin c,kesehatan,97875
ayam geprek,makanan,135367
bimbingan belajar,pendidikan,385026
bayar listrik pln,tagihan,375029
bayar bpjs kesehatan,kesehatan,360937
bayar denda,lainnya,85525
langganan ruangguru,pendidikan,290026
beli sepatu sneakers,belanja,87068
bimbingan belajar,pendidikan,317960
service mobil,transportasi,239972
bayar hosting web,tagihan,255320
cilok,makanan,109286
naik becak,transportasi,219115
bayar wifi indihome,tagihan,74724
biaya tukang,lainnya,69239
beli rak sepatu,belanja,264768
naik gojek,transportasi,191030
beli obat anak,kesehatan,136414
shopeefood,makanan,330405
senam terapi,kesehatan,300559
bayar akulaku,tagihan,450819
bayar kost bulanan,tagihan,244493
beli samsung,belanja,363159
staycation hotel,hiburan,425005
kasih hadiah,sosial,289186
makan seafood,makanan,260155
tiket kapal laut,transportasi,478330
beli pulpen,lainnya,339595
beli wajan,belanja,97085
isi bensin pertalite,transportasi,330758
kursus bahasa inggris,pendidikan,50768
bayar air,tagihan,362140
jajanan pasar,makanan,135825
beli charger hp,belanja,126733
beli earphone,belanja,370690
bootcamp programming,pendidikan,335669
bayar token,tagihan,120890
beli parfum,belanja,460973
beli skincare korea,belanja,363822
servis rem mobil,transportasi,163116
beli alat tulis,belanja,194676
bayar denda,lainnya,185372
beli air fryer,belanja,211870
spp sekolah,pendidikan,390285
traktir teman makan,sosial,240789
top up mobile legends,hiburan,293356
sedekah jumat,sosial,228540
laundry,lainnya,374463
bayar hosting web,tagihan,462607
bayar indihome,tagihan,208643
