deskripsi,category,source
warung nasi,makanan,synthetic
warung makan,makanan,synthetic
warteg,makanan,synthetic
warung padang,makanan,synthetic
warung soto,makanan,synthetic
warung bu sari,makanan,synthetic
warung pak budi,makanan,synthetic
nasi uduk,makanan,synthetic
nasi kuning,makanan,synthetic
nasi padang,makanan,synthetic
nasi goreng,makanan,synthetic
nasi campur,makanan,synthetic
nasi pecel,makanan,synthetic
nasi liwet,makanan,synthetic
nasi bakar,makanan,synthetic
nasi box,makanan,synthetic
nasi bungkus,makanan,synthetic
makan siang,makanan,synthetic
makan malam,makanan,synthetic
makan pagi,makanan,synthetic
sarapan,makanan,synthetic
makan di warteg,makanan,synthetic
makan di kantin,makanan,synthetic
makan di warung,makanan,synthetic
kfc,makanan,synthetic
mcdonalds,makanan,synthetic
burger king,makanan,synthetic
pizza hut,makanan,synthetic
dominos pizza,makanan,synthetic
ayam geprek,makanan,synthetic
ayam penyet,makanan,synthetic
ayam bakar,makanan,synthetic
ayam goreng,makanan,synthetic
ayam lalapan,makanan,synthetic
bakso solo,makanan,synthetic
bakso malang,makanan,synthetic
bakso pak kumis,makanan,synthetic
mie ayam,makanan,synthetic
mie bakso,makanan,synthetic
soto ayam,makanan,synthetic
soto betawi,makanan,synthetic
soto lamongan,makanan,synthetic
rawon,makanan,synthetic
opor ayam,makanan,synthetic
rendang,makanan,synthetic
gulai,makanan,synthetic
sate ayam,makanan,synthetic
sate kambing,makanan,synthetic
sate padang,makanan,synthetic
kopi susu,makanan,synthetic
kopi hitam,makanan,synthetic
kopi jahe,makanan,synthetic
kopi aren,makanan,synthetic
kopi tubruk,makanan,synthetic
es teh,makanan,synthetic
es jeruk,makanan,synthetic
es campur,makanan,synthetic
es buah,makanan,synthetic
es dawet,makanan,synthetic
teh tarik,makanan,synthetic
thai tea,makanan,synthetic
boba,makanan,synthetic
matcha latte,makanan,synthetic
susu segar,makanan,synthetic
jus alpukat,makanan,synthetic
jus mangga,makanan,synthetic
jus jambu,makanan,synthetic
jus semangka,makanan,synthetic
jus jeruk,makanan,synthetic
air mineral aqua,makanan,synthetic
pocari sweat,makanan,synthetic
mizone,makanan,synthetic
sprite,makanan,synthetic
coca cola,makanan,synthetic
indomie goreng,makanan,synthetic
indomie rebus,makanan,synthetic
indomie kuah,makanan,synthetic
mie sedaap,makanan,synthetic
supermi,makanan,synthetic
pop mie,makanan,synthetic
sarimi,makanan,synthetic
mie telur,makanan,synthetic
bihun,makanan,synthetic
kwetiau,makanan,synthetic
khong guan,makanan,synthetic
roma marie,makanan,synthetic
oreo,makanan,synthetic
biskuit,makanan,synthetic
wafer tango,makanan,synthetic
chitato,makanan,synthetic
lays,makanan,synthetic
cheetos,makanan,synthetic
qtela,makanan,synthetic
piattos,makanan,synthetic
richeese,makanan,synthetic
nabati,makanan,synthetic
beng beng,makanan,synthetic
silverqueen,makanan,synthetic
cadbury,makanan,synthetic
sayur bayam,makanan,synthetic
sayur kangkung,makanan,synthetic
sayur wortel,makanan,synthetic
sayur buncis,makanan,synthetic
sayur kol,makanan,synthetic
beli sayuran,makanan,synthetic
sayuran segar,makanan,synthetic
brokoli,makanan,synthetic
tomat,makanan,synthetic
cabai merah,makanan,synthetic
bawang merah,makanan,synthetic
bawang putih,makanan,synthetic
bawang bombay,makanan,synthetic
kentang,makanan,synthetic
singkong,makanan,synthetic
tempe,makanan,synthetic
tahu,makanan,synthetic
